altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,0,1,Chicago,1674190450000407312,True,False,Chicago,2022-09-06 13:03:25,41.707665,Chicago,-87.608695,60602,Chicago,Chicago,Public Rack - Lawrence Ave & 103rd St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,2,5,Chicago,1521686986436309688,True,False,Chicago,2022-07-28 15:40:33,41.9122813,Chicago,-87.6773211,60602,Chicago,Chicago,Damen Ave & Wabansia Ave,IN_SERVICE,1,IN_SERVICE,False,8
0.0,0,8,Chicago,1575949515273532128,True,False,Chicago,2022-10-20 11:46:39,41.8989108,Chicago,-87.7164901,60602,Chicago,Chicago,Central Park & Augusta Blvd,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,1,Chicago,1683527931525155816,True,False,Chicago,2022-09-06 16:22:30,41.749519,Chicago,-87.568831,60602,Chicago,Chicago,Public Rack - Crandon Ave & 80th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1677249780879464466,True,False,Chicago,2022-09-06 19:44:55,41.9683,Chicago,-87.709435,60602,Chicago,Chicago,Public Rack - Sawyer Ave & Lawrence Ave,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190638978968662,True,False,Chicago,2022-09-06 20:00:43,41.73034,Chicago,-87.611734,60602,Chicago,Chicago,Public Rack - Tuley (Murray) Park,IN_SERVICE,1,IN_SERVICE,False,2
0.0,2,1,Chicago,1674190617504132140,True,False,Chicago,2022-09-06 19:46:04,41.910138,Chicago,-87.709553,60602,Chicago,Chicago,Public Rack - Spaulding Ave & North Ave,IN_SERVICE,1,IN_SERVICE,False,4
0.0,1,0,Chicago,1695777002429618974,True,False,Chicago,2022-09-06 19:48:56,41.71525,Chicago,-87.681698,60602,Chicago,Chicago,Public Rack - Western Ave & 98th St,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,1,Chicago,1674190145057728760,True,False,Chicago,2022-09-06 11:43:27,41.779196,Chicago,-87.683589,60602,Chicago,Chicago,Public Rack - 63rd & Western Ave S,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1674190514424916870,True,False,Chicago,2022-09-06 12:42:47,41.693027,Chicago,-87.701054,60602,Chicago,Chicago,Public Rack - Mt Greenwood Library N,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,3,Chicago,1674190153647663366,True,False,Chicago,2022-09-06 16:08:55,41.886167,Chicago,-87.714711,60602,Chicago,Chicago,Public Rack - Al Raby School,IN_SERVICE,1,IN_SERVICE,False,3
0.0,3,6,Chicago,1561012895895892552,True,False,Chicago,2022-10-20 11:46:45,41.85892,Chicago,-87.707963,60602,Chicago,Chicago,Spaulding Ave & 16th St,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,3,Chicago,1695776990330095648,True,False,Chicago,2022-09-06 16:21:13,41.73715,Chicago,-87.57319,60602,Chicago,Chicago,Public Rack - Clyde Ave & 87th St,IN_SERVICE,1,IN_SERVICE,False,3
0.0,0,1,Chicago,1683527955055720454,True,False,Chicago,2022-09-06 13:25:32,41.79480875,Chicago,-87.61890696,60602,Chicago,Chicago,Public Rack - Prairie Ave & Garfield Blvd N,IN_SERVICE,1,IN_SERVICE,False,1
0.0,0,2,Chicago,1677249879663712420,True,False,Chicago,2022-09-06 16:07:15,41.70838,Chicago,-87.581455,60602,Chicago,Chicago,Public Rack - 10101 S Stony Island Ave,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1674190454295374616,True,False,Chicago,2022-09-06 19:32:13,41.938743,Chicago,-87.763298,60602,Chicago,Chicago,Public Rack - Linder Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1677249845303973994,True,False,Chicago,2022-09-06 12:38:33,41.69163,Chicago,-87.671782,60602,Chicago,Chicago,Public Rack - Longwood Dr & 111th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,2,Chicago,1674190630389034056,True,False,Chicago,2022-09-06 19:59:51,41.79482,Chicago,-87.732112,60602,Chicago,Chicago,Public Rack - Strohacker Park,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,9,Chicago,1695780083082689008,True,False,Chicago,2022-09-06 13:30:41,41.92786,Chicago,-87.735756,60602,Chicago,Chicago,Public Rack - Kostner Ave & Wrightwood Ave,IN_SERVICE,1,IN_SERVICE,False,9
0.0,0,2,Chicago,1674190230957074842,True,False,Chicago,2022-09-06 16:18:59,41.657379,Chicago,-87.606444,60602,Chicago,Chicago,Public Rack - Champlain Ave & 134th St,IN_SERVICE,1,IN_SERVICE,False,2
0.0,0,1,Chicago,1674190402755766968,True,False,Chicago,2022-09-06 19:25:39,41.844058,Chicago,-87.729873,60602,Chicago,Chicago,Public Rack - Keeler Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,1
